item,kind,monitor_basis,watch_threshold,alert_threshold,direction,rule_desc
营业总收入,金额,%（同比变化率）,-5,-10,低于,收入同比下降超过 5%
营业成本,金额,%（同比变化率）,15,20,高于,营业成本同比增长超过 15%
毛利额,金额,%（同比变化率）,-5,-10,低于,毛利额同比下降超过 5%
毛利率,比率,pp（百分点变化）,-1,-2,低于,毛利率同比下降超过 1 个百分点
销售费用率,比率,pp（百分点变化）,1,2,高于,销售费用率同比上升超过 1 个百分点
管理费用率,比率,pp（百分点变化）,1,2,高于,管理费用率同比上升超过 1 个百分点
研发费用率,比率,pp（百分点变化）,-0.5,-1,低于,研发费用率同比下降超过 0.5 个百分点
营业利润,金额,%（同比变化率）,-5,-10,低于,营业利润同比下降超过 5%
净利率,比率,pp（百分点变化）,-1,-2,低于,净利率同比下降超过 1 个百分点
经营现金流率,比率,pp（百分点变化）,-2,-4,低于,经营现金流率同比下降超过 2 个百分点
应收账款,金额,%（同比变化率）,15,25,高于,应收账款同比增长超过 15%
应收账款/收入,比率,pp（百分点变化）,0.5,1,高于,应收账款占收入比上升超过 0.5 个百分点
存货,金额,%（同比变化率）,15,25,高于,存货同比增长超过 15%
应付账款,金额,%（同比变化率）,15,25,高于,应付账款同比增长超过 15%
货币资金,金额,%（同比变化率）,-30,-50,低于,货币资金同比下降超过 30%
现金含量,倍数,倍（同比变化）,-0.3,-0.5,低于,现金含量同比下降超过 0.3 倍
三费占收入比,比率,pp（百分点变化）,1,2,高于,三费占收入比上升超过 1 个百分点
应收账款周转天数,天数,天（同比变化）,3,6,高于,应收账款周转天数增加超过 3 天
存货周转天数,天数,天（同比变化）,5,10,高于,存货周转天数增加超过 5 天
应付账款周转天数,天数,天（同比变化）,-5,-10,低于,应付账款周转天数减少超过 5 天
现金转换周期,天数,天（同比变化）,5,10,高于,现金转换周期延长超过 5 天
总资产周转率,次数,次（同比变化）,-0.05,-0.1,低于,总资产周转率下降超过 0.05 次
