item,kind,monitor_basis,direction,watch_threshold,alert_threshold,rule_desc,sql_monitor_value,sql_status
现金含量,倍数,倍（同比变化）,低于,-0.3,-0.5,现金含量同比下降超过 0.3 倍,-0.3631,关注
经营现金流率,比率,pp（百分点变化）,低于,-2.0,-4.0,经营现金流率同比下降超过 2 个百分点,-3.1571,关注
货币资金,金额,%（同比变化率）,低于,-30.0,-50.0,货币资金同比下降超过 30%,-39.2871,关注
三费占收入比,比率,pp（百分点变化）,高于,1.0,2.0,三费占收入比上升超过 1 个百分点,-0.2433,正常
净利率,比率,pp（百分点变化）,低于,-1.0,-2.0,净利率同比下降超过 1 个百分点,0.2358,正常
存货,金额,%（同比变化率）,高于,15.0,25.0,存货同比增长超过 15%,2.0361,正常
存货周转天数,天数,天（同比变化）,高于,5.0,10.0,存货周转天数增加超过 5 天,-6.9603,正常
应付账款,金额,%（同比变化率）,高于,15.0,25.0,应付账款同比增长超过 15%,11.7242,正常
应付账款周转天数,天数,天（同比变化）,低于,-5.0,-10.0,应付账款周转天数减少超过 5 天,-0.431,正常
应收账款,金额,%（同比变化率）,高于,15.0,25.0,应收账款同比增长超过 15%,12.9923,正常
应收账款/收入,比率,pp（百分点变化）,高于,0.5,1.0,应收账款占收入比上升超过 0.5 个百分点,0.0712,正常
应收账款周转天数,天数,天（同比变化）,高于,3.0,6.0,应收账款周转天数增加超过 3 天,0.2599,正常
总资产周转率,次数,次（同比变化）,低于,-0.05,-0.1,总资产周转率下降超过 0.05 次,0.0762,正常
毛利率,比率,pp（百分点变化）,低于,-1.0,-2.0,毛利率同比下降超过 1 个百分点,-0.0467,正常
毛利额,金额,%（同比变化率）,低于,-5.0,-10.0,毛利额同比下降超过 5%,11.8846,正常
现金转换周期,天数,天（同比变化）,高于,5.0,10.0,现金转换周期延长超过 5 天,-6.2694,正常
研发费用率,比率,pp（百分点变化）,低于,-0.5,-1.0,研发费用率同比下降超过 0.5 个百分点,-0.0886,正常
管理费用率,比率,pp（百分点变化）,高于,1.0,2.0,管理费用率同比上升超过 1 个百分点,-0.0362,正常
营业利润,金额,%（同比变化率）,低于,-5.0,-10.0,营业利润同比下降超过 5%,14.1938,正常
营业总收入,金额,%（同比变化率）,低于,-5.0,-10.0,收入同比下降超过 5%,12.0802,正常
营业成本,金额,%（同比变化率）,高于,15.0,20.0,营业成本同比增长超过 15%,12.1517,正常
销售费用率,比率,pp（百分点变化）,高于,1.0,2.0,销售费用率同比上升超过 1 个百分点,-0.1186,正常
