item,status,rule_desc
现金含量,关注,现金含量同比下降超过 0.3 倍
经营现金流率,关注,经营现金流率同比下降超过 2 个百分点
货币资金,关注,货币资金同比下降超过 30%
三费占收入比,正常,三费占收入比上升超过 1 个百分点
净利率,正常,净利率同比下降超过 1 个百分点
存货,正常,存货同比增长超过 15%
存货周转天数,正常,存货周转天数增加超过 5 天
应付账款,正常,应付账款同比增长超过 15%
应付账款周转天数,正常,应付账款周转天数减少超过 5 天
应收账款,正常,应收账款同比增长超过 15%
应收账款/收入,正常,应收账款占收入比上升超过 0.5 个百分点
应收账款周转天数,正常,应收账款周转天数增加超过 3 天
总资产周转率,正常,总资产周转率下降超过 0.05 次
毛利率,正常,毛利率同比下降超过 1 个百分点
毛利额,正常,毛利额同比下降超过 5%
现金转换周期,正常,现金转换周期延长超过 5 天
研发费用率,正常,研发费用率同比下降超过 0.5 个百分点
管理费用率,正常,管理费用率同比上升超过 1 个百分点
营业利润,正常,营业利润同比下降超过 5%
营业总收入,正常,收入同比下降超过 5%
营业成本,正常,营业成本同比增长超过 15%
销售费用率,正常,销售费用率同比上升超过 1 个百分点
