period,item,col_key,value,statement,unit
2024,净利润,ni,38757.214,合并利润表,百万元
2024,存货,inv,63339.188,合并资产负债表,百万元
2024,应付账款,ap,92800.426,合并资产负债表,百万元
2024,应收账款,ar,35798.974,合并资产负债表,百万元
2024,研发费用,rd,16232.771,合并利润表,百万元
2024,管理费用,admin,14505.864,合并利润表,百万元
2024,经营活动现金流净额,ocf,60511.572,合并现金流量表,百万元
2024,营业利润,op,46393.752,合并利润表,百万元
2024,营业总收入,rev,409084.266,合并利润表,百万元
2024,营业成本,cogs,299584.935,合并利润表,百万元
2024,货币资金,cash,140410.308,合并资产负债表,百万元
2024,资产总计,ta,604351.853,合并资产负债表,百万元
2024,销售费用,sell,38753.649,合并利润表,百万元
2025,净利润,ni,44520.196,合并利润表,百万元
2025,存货,inv,64628.834,合并资产负债表,百万元
2025,应付账款,ap,103680.491,合并资产负债表,百万元
2025,应收账款,ar,40450.097,合并资产负债表,百万元
2025,研发费用,rd,17787.624,合并利润表,百万元
2025,管理费用,admin,16092.311,合并利润表,百万元
2025,经营活动现金流净额,ocf,53345.93,合并现金流量表,百万元
2025,营业利润,op,52978.773,合并利润表,百万元
2025,营业总收入,rev,458502.407,合并利润表,百万元
2025,营业成本,cogs,335989.528,合并利润表,百万元
2025,货币资金,cash,85247.15,合并资产负债表,百万元
2025,资产总计,ta,608791.766,合并资产负债表,百万元
2025,销售费用,sell,42891.49,合并利润表,百万元
