year,quarter,item,value,statement
2025,Q1,营业收入,127838.538,分季度主要财务指标
2025,Q1,归母净利润,12422.233,分季度主要财务指标
2025,Q1,扣非净利润,12749.867,分季度主要财务指标
2025,Q1,经营活动现金流净额,14320.968,分季度主要财务指标
2025,Q2,营业收入,123285.176,分季度主要财务指标
2025,Q2,归母净利润,13591.457,分季度主要财务指标
2025,Q2,扣非净利润,13485.532,分季度主要财务指标
2025,Q2,经营活动现金流净额,22960.047,分季度主要财务指标
2025,Q3,营业收入,111933.037,分季度主要财务指标
2025,Q3,归母净利润,11869.693,分季度主要财务指标
2025,Q3,扣非净利润,10904.681,分季度主要财务指标
2025,Q3,经营活动现金流净额,19785.070,分季度主要财务指标
2025,Q4,营业收入,93394.980,分季度主要财务指标
2025,Q4,归母净利润,6062.028,分季度主要财务指标
2025,Q4,扣非净利润,4127.153,分季度主要财务指标
2025,Q4,经营活动现金流净额,-3720.155,分季度主要财务指标
